Date,Time,Open,High,Low,Close,Volume
2008.10.21,00:00,175.130,175.570,166.760,167.500,55565
2008.10.22,00:00,167.550,167.950,157.720,158.960,66314
2008.10.23,00:00,158.870,160.650,154.530,159.680,70779
2008.10.24,00:00,159.610,159.620,139.020,150.130,96048
2008.10.27,00:00,146.220,149.830,140.630,144.790,64672
2008.10.28,00:00,144.770,159.510,142.840,157.260,61938
2008.10.29,00:00,157.300,161.160,153.340,159.290,63955
2008.10.30,00:00,159.260,165.020,158.170,161.440,55995
2008.10.31,00:00,161.450,162.230,155.460,158.230,59640
2008.11.03,00:00,158.250,163.310,155.590,156.150,48123
2008.11.04,00:00,156.180,161.700,153.650,159.230,58906
2008.11.05,00:00,159.250,160.800,155.200,155.620,67432
2008.11.06,00:00,155.630,157.660,151.650,151.690,68629
2008.11.07,00:00,151.730,156.170,150.260,153.580,42172
2008.11.10,00:00,155.900,157.510,152.050,153.090,48147
2008.11.11,00:00,153.080,154.230,149.740,150.050,45572
2008.11.12,00:00,150.080,151.740,140.250,140.520,57727
2008.11.13,00:00,140.550,145.650,138.880,144.860,60757
2008.11.14,00:00,144.830,146.260,140.870,143.010,49485
2008.11.17,00:00,141.150,146.450,140.680,143.910,50941
2008.11.18,00:00,143.900,146.490,143.550,145.080,47641
2008.11.19,00:00,145.110,147.880,142.820,143.190,40794
2008.11.20,00:00,143.230,143.870,137.620,138.730,48063
2008.11.21,00:00,138.690,143.200,137.900,143.160,49780
2008.11.24,00:00,143.510,147.930,141.010,147.380,51832
2008.11.25,00:00,147.370,148.570,143.710,147.230,54284
2008.11.26,00:00,147.220,147.450,144.500,146.320,49635
2008.11.27,00:00,146.310,147.870,145.670,146.690,28330
2008.11.28,00:00,146.710,147.520,145.560,146.820,36155
2008.12.01,00:00,146.910,147.070,138.020,138.400,28799
2008.12.02,00:00,138.380,140.860,137.080,138.900,30276
2008.12.03,00:00,138.910,139.730,136.270,137.880,30245
2008.12.04,00:00,137.870,138.020,134.100,135.450,29746
2008.12.05,00:00,135.460,137.480,133.270,136.480,27558
2008.12.08,00:00,136.470,140.710,136.040,138.350,26703
2008.12.09,00:00,138.340,138.450,135.440,136.150,25489
2008.12.10,00:00,136.100,138.320,135.910,137.250,22943
2008.12.11,00:00,137.260,138.630,135.800,137.540,25151
2008.12.12,00:00,137.530,138.140,133.090,136.200,31814
2008.12.15,00:00,136.160,139.190,135.250,138.680,40435
2008.12.16,00:00,138.690,139.030,136.790,138.590,29155
2008.12.17,00:00,138.580,139.030,134.870,135.460,34942
2008.12.18,00:00,135.470,138.100,133.600,134.600,54674
2008.12.19,00:00,134.610,135.870,132.270,133.450,65725
2008.12.22,00:00,133.370,134.650,132.020,133.670,26757
2008.12.23,00:00,133.660,134.340,132.860,133.790,20824
2008.12.24,00:00,133.780,134.030,132.570,133.120,18921
2008.12.26,00:00,133.220,133.310,132.200,132.290,7818
2008.12.29,00:00,132.670,133.330,130.070,130.560,24335
2008.12.30,00:00,130.580,131.690,129.710,130.010,20321
2008.12.31,00:00,130.030,133.140,129.930,132.510,15257
2009.01.02,00:00,133.120,133.970,131.350,133.500,14694
2009.01.05,00:00,133.970,137.510,132.820,136.800,27030
2009.01.06,00:00,136.850,140.820,135.410,139.210,30656
2009.01.07,00:00,139.220,141.520,137.910,139.900,30771
2009.01.08,00:00,139.910,140.050,137.260,138.850,30837
2009.01.09,00:00,138.840,139.860,136.490,137.030,40519
2009.01.12,00:00,135.690,136.260,131.710,132.300,37339
2009.01.13,00:00,132.290,132.540,128.780,129.630,41542
2009.01.14,00:00,129.620,132.030,129.020,129.710,38656
2009.01.15,00:00,129.650,131.980,129.060,131.660,40010
2009.01.16,00:00,131.640,135.690,131.600,133.570,41298
2009.01.19,00:00,135.260,135.820,130.030,130.240,29736
2009.01.20,00:00,130.300,130.960,123.960,124.410,50707
2009.01.21,00:00,124.400,126.130,119.380,125.280,49489
2009.01.22,00:00,125.250,125.260,121.090,123.330,46764
2009.01.23,00:00,123.380,123.770,118.810,122.360,43207
2009.01.26,00:00,120.950,125.070,119.680,124.750,41492
2009.01.27,00:00,124.760,127.640,124.210,126.140,43060
