Date,Time,Open,High,Low,Close,Volume
2008.10.23,00:00,1.16410,1.16970,1.15590,1.15850,26322
2008.10.24,00:00,1.15840,1.17460,1.14810,1.16720,36007
2008.10.27,00:00,1.16220,1.17090,1.15190,1.15650,27180
2008.10.28,00:00,1.15660,1.16540,1.15120,1.15270,27555
2008.10.29,00:00,1.15260,1.15810,1.12570,1.13060,30076
2008.10.30,00:00,1.13070,1.14770,1.12080,1.14220,27526
2008.10.31,00:00,1.14230,1.16820,1.13550,1.15770,26747
2008.11.03,00:00,1.15560,1.17880,1.14740,1.17870,24557
2008.11.04,00:00,1.17860,1.18000,1.15660,1.16260,33263
2008.11.05,00:00,1.16250,1.17460,1.15490,1.15890,38039
2008.11.06,00:00,1.15880,1.17950,1.15670,1.17920,34269
2008.11.07,00:00,1.17900,1.17970,1.16790,1.17870,19962
2008.11.10,00:00,1.17440,1.18010,1.17120,1.17830,21971
2008.11.11,00:00,1.17850,1.18810,1.17220,1.18750,21947
2008.11.12,00:00,1.18760,1.18950,1.17590,1.18750,27233
2008.11.13,00:00,1.18730,1.20000,1.18250,1.18750,28589
2008.11.14,00:00,1.18760,1.19900,1.18400,1.19510,24057
2008.11.17,00:00,1.19950,1.20060,1.18870,1.19910,24591
2008.11.18,00:00,1.19900,1.20440,1.19650,1.20240,20786
2008.11.19,00:00,1.20230,1.21450,1.19410,1.21250,21307
2008.11.20,00:00,1.21280,1.22790,1.21010,1.22350,24255
2008.11.21,00:00,1.22410,1.22960,1.21710,1.22270,20656
2008.11.24,00:00,1.22080,1.22230,1.19160,1.19300,21933
2008.11.25,00:00,1.19320,1.20610,1.18280,1.18380,23802
2008.11.26,00:00,1.18400,1.20770,1.18400,1.20190,21762
2008.11.27,00:00,1.20200,1.20350,1.19530,1.20040,13447
2008.11.28,00:00,1.20050,1.21980,1.19600,1.21600,15681
2008.12.01,00:00,1.21450,1.21500,1.20190,1.20390,14136
2008.12.02,00:00,1.20410,1.20940,1.19940,1.20580,13891
2008.12.03,00:00,1.20590,1.21680,1.20490,1.20870,13801
2008.12.04,00:00,1.20860,1.21860,1.19240,1.19500,14315
2008.12.05,00:00,1.19470,1.22490,1.19470,1.22010,14589
2008.12.08,00:00,1.22040,1.22330,1.20170,1.20490,13177
2008.12.09,00:00,1.20500,1.21760,1.20060,1.20510,11997
2008.12.10,00:00,1.20500,1.20820,1.19250,1.19750,10646
2008.12.11,00:00,1.19760,1.19990,1.17890,1.18460,13458
2008.12.12,00:00,1.18470,1.18660,1.17390,1.17710,14410
2008.12.15,00:00,1.17370,1.17460,1.15600,1.15760,18858
2008.12.16,00:00,1.15750,1.15850,1.11420,1.11920,14679
2008.12.17,00:00,1.11940,1.12430,1.07100,1.07300,18880
2008.12.18,00:00,1.07310,1.08660,1.04100,1.08150,28126
2008.12.19,00:00,1.08130,1.11350,1.07430,1.10310,33865
